mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__gamma,param_clf__learning_rate,param_clf__max_depth,param_clf__min_child_weight,param_clf__n_estimators,param_clf__reg_alpha,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.907474994659424,0.09755278519233661,0.259578800201416,0.02405085318412073,0.6541952654711847,0.26635551081911335,0.12326056398865025,6,4,240,0.2784773944115559,0.7009143930685319,0.834830547480174,"{'clf__colsample_bytree': np.float64(0.6541952654711847), 'clf__gamma': np.float64(0.26635551081911335), 'clf__learning_rate': np.float64(0.12326056398865025), 'clf__max_depth': 6, 'clf__min_child_weight': 4, 'clf__n_estimators': 240, 'clf__reg_alpha': np.float64(0.2784773944115559), 'clf__reg_lambda': np.float64(0.7009143930685319), 'clf__subsample': np.float64(0.834830547480174)}",0.5125455915934585,0.512326532468387,0.5165131913273454,0.5117602190784312,0.5109874861306521,0.5128266041196549,0.0019203904274812296,13
3.7703238487243653,0.033618549019810616,0.1274289608001709,0.001975632496472911,0.650563418758626,0.26461624458652244,0.06802493472040093,3,1,164,0.012515391845625334,1.038620510356468,0.6009513350265883,"{'clf__colsample_bytree': np.float64(0.650563418758626), 'clf__gamma': np.float64(0.26461624458652244), 'clf__learning_rate': np.float64(0.06802493472040093), 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__n_estimators': 164, 'clf__reg_alpha': np.float64(0.012515391845625334), 'clf__reg_lambda': np.float64(1.038620510356468), 'clf__subsample': np.float64(0.6009513350265883)}",0.5312407159454648,0.5278278695667799,0.5441577368824866,0.520949071196245,0.5335082158013338,0.5315367218784621,0.007604187793191639,3
3.0356422901153564,0.1668391000777664,0.12318587303161621,0.009403868799982566,0.7171237568197908,0.18327429980006368,0.12130273914206462,4,4,113,0.05935205444632195,0.6940837248509603,0.7862493294513309,"{'clf__colsample_bytree': np.float64(0.7171237568197908), 'clf__gamma': np.float64(0.18327429980006368), 'clf__learning_rate': np.float64(0.12130273914206462), 'clf__max_depth': 4, 'clf__min_child_weight': 4, 'clf__n_estimators': 113, 'clf__reg_alpha': np.float64(0.05935205444632195), 'clf__reg_lambda': np.float64(0.6940837248509603), 'clf__subsample': np.float64(0.7862493294513309)}",0.5225740619610626,0.5314995406749232,0.5342092501953076,0.519684485712682,0.525733316747309,0.5267401310582569,0.0054146404978453145,6
6.158915424346924,0.661334593277668,0.2002267837524414,0.0050461646733705075,0.9971788678267222,0.29133030231900076,0.0803917321161505,5,5,259,0.15589610662738815,0.6083214991015091,0.6043882058472662,"{'clf__colsample_bytree': np.float64(0.9971788678267222), 'clf__gamma': np.float64(0.29133030231900076), 'clf__learning_rate': np.float64(0.0803917321161505), 'clf__max_depth': 5, 'clf__min_child_weight': 5, 'clf__n_estimators': 259, 'clf__reg_alpha': np.float64(0.15589610662738815), 'clf__reg_lambda': np.float64(0.6083214991015091), 'clf__subsample': np.float64(0.6043882058472662)}",0.5121249766323455,0.5138369316210556,0.5249343074735967,0.5118415058176395,0.5191805617514842,0.5163836566592244,0.005023735775367134,11
5.045237970352173,0.02583810862227217,0.14436397552490235,0.007655367868767672,0.7296972825637964,0.29726953162373615,0.08131412878059927,3,1,273,0.0011482279052568932,0.7813703092429134,0.8623296169697011,"{'clf__colsample_bytree': np.float64(0.7296972825637964), 'clf__gamma': np.float64(0.29726953162373615), 'clf__learning_rate': np.float64(0.08131412878059927), 'clf__max_depth': 3, 'clf__min_child_weight': 1, 'clf__n_estimators': 273, 'clf__reg_alpha': np.float64(0.0011482279052568932), 'clf__reg_lambda': np.float64(0.7813703092429134), 'clf__subsample': np.float64(0.8623296169697011)}",0.5257150197799344,0.5279665555933225,0.5369587624871157,0.5184372991626253,0.5273066098166387,0.5272768493679274,0.0059125794963476724,5
3.5280237197875977,0.06451113916073865,0.12039418220520019,0.0051102683792635,0.7994341385156624,0.21687112062220498,0.04453268565208614,3,3,161,0.2689740341711065,0.837490352664173,0.8543789707044382,"{'clf__colsample_bytree': np.float64(0.7994341385156624), 'clf__gamma': np.float64(0.21687112062220498), 'clf__learning_rate': np.float64(0.04453268565208614), 'clf__max_depth': 3, 'clf__min_child_weight': 3, 'clf__n_estimators': 161, 'clf__reg_alpha': np.float64(0.2689740341711065), 'clf__reg_lambda': np.float64(0.837490352664173), 'clf__subsample': np.float64(0.8543789707044382)}",0.5314267747977414,0.5378390244015986,0.5471696463497214,0.5243018571942257,0.5446914227377234,0.5370857450962021,0.008432681202542442,1
3.838127088546753,0.03458827947368076,0.1584223747253418,0.0065778978675117405,0.7106717134441847,0.10206876402665883,0.040507460125836406,6,4,138,0.06466721646400893,1.0886458216064137,0.827776493828918,"{'clf__colsample_bytree': np.float64(0.7106717134441847), 'clf__gamma': np.float64(0.10206876402665883), 'clf__learning_rate': np.float64(0.040507460125836406), 'clf__max_depth': 6, 'clf__min_child_weight': 4, 'clf__n_estimators': 138, 'clf__reg_alpha': np.float64(0.06466721646400893), 'clf__reg_lambda': np.float64(1.0886458216064137), 'clf__subsample': np.float64(0.827776493828918)}",0.5282092582393239,0.5282505360685009,0.5298970904977447,0.513069044516046,0.5269003637486702,0.5252652586140572,0.006171775903224132,7
6.005780649185181,0.08697351887244092,0.18306188583374022,0.013074259431705903,0.6512298675719003,0.012423165003665181,0.11675113615325614,4,2,292,0.14078457007716955,0.8191776483088513,0.6570535220278003,"{'clf__colsample_bytree': np.float64(0.6512298675719003), 'clf__gamma': np.float64(0.012423165003665181), 'clf__learning_rate': np.float64(0.11675113615325614), 'clf__max_depth': 4, 'clf__min_child_weight': 2, 'clf__n_estimators': 292, 'clf__reg_alpha': np.float64(0.14078457007716955), 'clf__reg_lambda': np.float64(0.8191776483088513), 'clf__subsample': np.float64(0.6570535220278003)}",0.5116811490681682,0.5082799214051958,0.5163057401705654,0.505030302052224,0.5138221463459273,0.511023851808416,0.003990303983764087,14
4.289531660079956,0.0983481517285356,0.1339261054992676,0.00965083551036543,0.7417361300476442,0.10458506044477102,0.12698017661800481,3,5,199,0.22765809636143514,0.9006974191141157,0.8099310875075907,"{'clf__colsample_bytree': np.float64(0.7417361300476442), 'clf__gamma': np.float64(0.10458506044477102), 'clf__learning_rate': np.float64(0.12698017661800481), 'clf__max_depth': 3, 'clf__min_child_weight': 5, 'clf__n_estimators': 199, 'clf__reg_alpha': np.float64(0.22765809636143514), 'clf__reg_lambda': np.float64(0.9006974191141157), 'clf__subsample': np.float64(0.8099310875075907)}",0.5246598386694205,0.530554189997926,0.5389874327771488,0.5198274955685924,0.5233521641902017,0.5274762242406579,0.006714532663678321,4
4.333013296127319,0.046318567491674484,0.13973784446716309,0.014206722945750332,0.7374650050806033,0.06874200265788862,0.057338685593926755,3,4,196,0.07490097753046601,0.7827512918717587,0.7018782735434678,"{'clf__colsample_bytree': np.float64(0.7374650050806033), 'clf__gamma': np.float64(0.06874200265788862), 'clf__learning_rate': np.float64(0.057338685593926755), 'clf__max_depth': 3, 'clf__min_child_weight': 4, 'clf__n_estimators': 196, 'clf__reg_alpha': np.float64(0.07490097753046601), 'clf__reg_lambda': np.float64(0.7827512918717587), 'clf__subsample': np.float64(0.7018782735434678)}",0.526441170558404,0.532991366414466,0.5449334229298106,0.5161477516871826,0.5382206713336308,0.5317468765846989,0.00988763866557881,2
4.471246862411499,0.1437455353592618,0.16592741012573242,0.0030730921962503354,0.6349777258597857,0.16096260590204967,0.09325353685800761,4,2,171,0.10363962702866712,1.0624839466167324,0.7013266440000314,"{'clf__colsample_bytree': np.float64(0.6349777258597857), 'clf__gamma': np.float64(0.16096260590204967), 'clf__learning_rate': np.float64(0.09325353685800761), 'clf__max_depth': 4, 'clf__min_child_weight': 2, 'clf__n_estimators': 171, 'clf__reg_alpha': np.float64(0.10363962702866712), 'clf__reg_lambda': np.float64(1.0624839466167324), 'clf__subsample': np.float64(0.7013266440000314)}",0.5240830474881031,0.5257412631294841,0.5382692216812986,0.5161488326278637,0.5211085097743157,0.5250701749402131,0.007361042784533317,8
5.790237712860107,0.1175573014547269,0.1944119930267334,0.012622729028955714,0.7832771513928116,0.015652276794138564,0.09735568877435082,4,3,223,0.2954786084805292,0.524778919745065,0.7342489602972762,"{'clf__colsample_bytree': np.float64(0.7832771513928116), 'clf__gamma': np.float64(0.015652276794138564), 'clf__learning_rate': np.float64(0.09735568877435082), 'clf__max_depth': 4, 'clf__min_child_weight': 3, 'clf__n_estimators': 223, 'clf__reg_alpha': np.float64(0.2954786084805292), 'clf__reg_lambda': np.float64(0.524778919745065), 'clf__subsample': np.float64(0.7342489602972762)}",0.5190525657374492,0.5225075504344951,0.5285058686100524,0.5159825306060071,0.5209578085858413,0.521401264794769,0.004165932888762211,9
5.883783149719238,0.17197008273969117,0.2518125057220459,0.01121103113036743,0.6845269595854693,0.13554538028619828,0.07746559357039459,6,5,172,0.08394208866814291,1.11705186412703,0.650014947618881,"{'clf__colsample_bytree': np.float64(0.6845269595854693), 'clf__gamma': np.float64(0.13554538028619828), 'clf__learning_rate': np.float64(0.07746559357039459), 'clf__max_depth': 6, 'clf__min_child_weight': 5, 'clf__n_estimators': 172, 'clf__reg_alpha': np.float64(0.08394208866814291), 'clf__reg_lambda': np.float64(1.11705186412703), 'clf__subsample': np.float64(0.650014947618881)}",0.5141733577638699,0.5198420201060675,0.5200709249117306,0.5094582590348055,0.5202929863994601,0.5167675096431866,0.004311587220755737,10
8.855687856674194,0.16437058011979544,0.2941389560699463,0.03191077212271925,0.6403385783992563,0.29223655841461416,0.12564520365974058,6,1,289,0.2960525423448047,0.7566979151247524,0.6423406135609321,"{'clf__colsample_bytree': np.float64(0.6403385783992563), 'clf__gamma': np.float64(0.29223655841461416), 'clf__learning_rate': np.float64(0.12564520365974058), 'clf__max_depth': 6, 'clf__min_child_weight': 1, 'clf__n_estimators': 289, 'clf__reg_alpha': np.float64(0.2960525423448047), 'clf__reg_lambda': np.float64(0.7566979151247524), 'clf__subsample': np.float64(0.6423406135609321)}",0.5095877212783533,0.5072512273980184,0.5107064614641624,0.5040910797136308,0.5022586190133032,0.5067790217734935,0.003199863347575638,15
6.492276763916015,0.7801788634758368,0.1825167179107666,0.03508522217461578,0.8310307728295978,0.2783579510817711,0.09988029898810517,5,2,268,0.1434552070255329,0.6523609010143206,0.7889649423728655,"{'clf__colsample_bytree': np.float64(0.8310307728295978), 'clf__gamma': np.float64(0.2783579510817711), 'clf__learning_rate': np.float64(0.09988029898810517), 'clf__max_depth': 5, 'clf__min_child_weight': 2, 'clf__n_estimators': 268, 'clf__reg_alpha': np.float64(0.1434552070255329), 'clf__reg_lambda': np.float64(0.6523609010143206), 'clf__subsample': np.float64(0.7889649423728655)}",0.5194821060205566,0.5033201104333189,0.5239565194868551,0.5055068452800694,0.517398073161525,0.513932730876465,0.008085836512100654,12
